OID,N,N_study,Source,BASE,X,Y,Precise,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Sample_met,Occurrence,Sample_yea,Sampling_e,Sampling_1,ID_Todo,TRAITS,BodyMass_k,DielActivi,HomeRange_,Locomotion,TrophicGui,Brain_size,Canine_Dim,MeanGroupS,Interbirth,Gestation,WeaningAge,MaxLongevi,LitterSz,AdultSexRa,Social_Sys,Mating_Sys,FOREST,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,CC,CC_new,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2
-1,81,23,Henschel 2008,Ocurrencias,12.5474,0.17799,Precise,Gabon,Africa,Cercopithecidae,Cercopithecus,Cercopithecus solatus,Allochrocebus_solatus,camera traps,0,2004,1,day,NA,NA,6.35,D,NA,BOTH,Omnivore,NA,NA,16.8,547.5,NA,NA,NA,1.01,NA,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Allochrocebus solatus,Near Threatened,1,a,Allochrocebus_solatus_a,1747,75,75,1467,area,1,0,9547.137718,16,1
-1,102,23,Henschel 2008,Ocurrencias,12.56184,0.08613,Precise,Gabon,Africa,Cercopithecidae,Cercopithecus,Cercopithecus solatus,Allochrocebus_solatus,camera traps,0,2004,1,day,NA,NA,6.35,D,NA,BOTH,Omnivore,NA,NA,16.8,547.5,NA,NA,NA,1.01,NA,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Allochrocebus solatus,Near Threatened,1,a,Allochrocebus_solatus_a,1768,75,75,1123,area,1,0,9738.32711,37,2
-1,62,23,Henschel 2008,Ocurrencias,12.46208,-0.18523,Precise,Gabon,Africa,Cercopithecidae,Cercopithecus,Cercopithecus solatus,Allochrocebus_solatus,camera traps,0,2003,1,day,NA,NA,6.35,D,NA,BOTH,Omnivore,NA,NA,16.8,547.5,NA,NA,NA,1.01,NA,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Allochrocebus solatus,Near Threatened,1,a,Allochrocebus_solatus_a,1494,75,75,862,area,1,0,9831.940761,5,3
-1,48,23,Henschel 2008,Ocurrencias,12.1731,-1.13919,Precise,Gabon,Africa,Cercopithecidae,Cercopithecus,Cercopithecus solatus,Allochrocebus_solatus,camera traps,1,2005,1,day,NA,NA,6.35,D,NA,BOTH,Omnivore,NA,NA,16.8,547.5,NA,NA,NA,1.01,NA,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Allochrocebus solatus,Near Threatened,1,a,Allochrocebus_solatus_a,2178,75,75,235,area,1,0,9943.61496,9,4
-1,31,23,Henschel 2008,Ocurrencias,12.21355,-1.26215,Precise,Gabon,Africa,Cercopithecidae,Cercopithecus,Cercopithecus solatus,Allochrocebus_solatus,camera traps,0,2004,1,day,NA,NA,6.35,D,NA,BOTH,Omnivore,NA,NA,16.8,547.5,NA,NA,NA,1.01,NA,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Allochrocebus solatus,Near Threatened,1,a,Allochrocebus_solatus_a,1738,75,75,81,area,1,0,9975.603587,7,5
-1,177,538,Fialho et al. 2014,Ocurrencias,-35.50072222,-9.227416667,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3244,75,75,1,area,0,193.8076942,0.274839676,33,6
-1,174,538,Fialho et al. 2014,Ocurrencias,-35.05261111,-8.525777778,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Mangroves,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3241,50,75,567,area,1,0,61.65570054,30,7
-1,148,538,Fialho et al. 2014,Ocurrencias,-35.13305556,-6.610527778,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3215,75,75,351,area,1,0,96.46872611,4,8
-1,179,538,Fialho et al. 2014,Ocurrencias,-36.30797222,-10.113,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3246,75,75,282,area,1,0,115.6158902,35,9
-1,150,538,Fialho et al. 2014,Ocurrencias,-35.08458333,-6.646611111,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3217,75,75,483,area,1,0,126.6094772,6,10
-1,181,538,Fialho et al. 2014,Ocurrencias,-35.98216667,-9.516777778,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3248,75,75,1,area,0,85.60991773,138.6108097,37,11
-1,147,538,Fialho et al. 2014,Ocurrencias,-35.13152778,-6.570138889,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3214,75,75,245,area,1,0,146.3063206,3,12
-1,149,538,Fialho et al. 2014,Ocurrencias,-35.06152778,-6.637666667,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3216,75,75,745,area,1,0,266.9609381,5,13
-1,169,538,Fialho et al. 2014,Ocurrencias,-34.97588889,-7.51325,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3236,75,75,313,area,1,0,277.2216194,25,14
-1,159,538,Fialho et al. 2014,Ocurrencias,-35.15441667,-7.042833333,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3226,75,75,312,area,1,0,307.0875308,15,15
-1,146,538,Fialho et al. 2014,Ocurrencias,-34.97116667,-6.557944444,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3213,75,75,294,area,1,0,309.0114085,2,16
-1,151,538,Fialho et al. 2014,Ocurrencias,-35.10597222,-6.731888889,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3218,75,75,617,area,1,0,340.8928109,7,17
-1,173,538,Fialho et al. 2014,Ocurrencias,-35.013,-7.777611111,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3240,75,75,445,area,1,0,387.6155557,29,18
-1,165,538,Fialho et al. 2014,Ocurrencias,-34.86075,-7.14575,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3232,75,75,349,area,1,0,500.024983,21,19
-1,175,538,Fialho et al. 2014,Ocurrencias,-35.40391667,-8.712666667,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3242,75,75,1,area,0,42.80495886,501.3991814,31,20
-1,167,538,Fialho et al. 2014,Ocurrencias,-34.92133333,-6.994111111,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3234,75,75,832,area,1,0,521.0044116,23,21
-1,170,538,Fialho et al. 2014,Ocurrencias,-34.99244444,-7.600861111,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3237,75,75,226,area,1,0,710.368948,26,22
-1,180,538,Fialho et al. 2014,Ocurrencias,-36.23536111,-9.757416667,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3247,75,75,203,area,1,0,726.3096492,36,23
