"Source","X","Y","Country","Realm","Family","Genus","Taxon","Taxon_ITIS","Sample_met","Occurrence","Sample_yea","Sampling_e","Sampling_1","BodyMass_k","DielActivi","HomeRange_","Locomotion","TrophicGui","Brain_size","Canine_Dim","MeanGroupS","Interbirth","Gestation","WeaningAge","MaxLongevi","LitterSz","AdultSexRa","Social_Sys","Mating_Sys","FOREST","BIOME","TaxonNameIUCN","species_number","Source_grp","Dataset"
"Chiarello 1999",-40.16187,-19.876262,"Brazil","Neotropics","Atelidae","Alouatta","Alouatta fusca","Alouatta_guariba ","Line Transect",0,1995,59,"km",5.54,"D",15.065,"AR","Folivore_frugivore",51.7,1.783,6.53,664.8,190,NA,NA,NA,1.61,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Alouatta guariba ",4,"c","Alouatta_guariba _c"
"Chiarello 1999",-40.12372,-19.805467,"Brazil","Neotropics","Atelidae","Alouatta","Alouatta fusca","Alouatta_guariba ","Line Transect",1,1995,62.9,"km",5.54,"D",15.065,"AR","Folivore_frugivore",51.7,1.783,6.53,664.8,190,NA,NA,NA,1.61,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Alouatta guariba ",4,"c","Alouatta_guariba _c"
"Chiarello 1999",-40.13806389,-19.01885278,"Brazil","Neotropics","Atelidae","Alouatta","Alouatta fusca","Alouatta_guariba ","Line Transect",1,1995,83.6,"km",5.54,"D",15.065,"AR","Folivore_frugivore",51.7,1.783,6.53,664.8,190,NA,NA,NA,1.61,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Alouatta guariba ",4,"c","Alouatta_guariba _c"
"Chiarello 1999",-40.14874167,-18.34444722,"Brazil","Neotropics","Atelidae","Alouatta","Alouatta fusca","Alouatta_guariba ","Line Transect",0,1995,85.3,"km",5.54,"D",15.065,"AR","Folivore_frugivore",51.7,1.783,6.53,664.8,190,NA,NA,NA,1.61,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Alouatta guariba ",4,"c","Alouatta_guariba _c"
"Chiarello 1999",-39.80627778,-18.26845278,"Brazil","Neotropics","Atelidae","Alouatta","Alouatta fusca","Alouatta_guariba ","Line Transect",0,1995,87.9,"km",5.54,"D",15.065,"AR","Folivore_frugivore",51.7,1.783,6.53,664.8,190,NA,NA,NA,1.61,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Alouatta guariba ",4,"c","Alouatta_guariba _c"
"Chiarello 1999",-39.94515556,-19.11418056,"Brazil","Neotropics","Atelidae","Alouatta","Alouatta fusca","Alouatta_guariba ","Line Transect",1,1995,80.1,"km",5.54,"D",15.065,"AR","Folivore_frugivore",51.7,1.783,6.53,664.8,190,NA,NA,NA,1.61,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Alouatta guariba ",4,"c","Alouatta_guariba _c"
"Chiarello 1999",-40.16187,-19.876262,"Brazil","Neotropics","Pitheciidae","Callicebus","Callicebus personatus","Callicebus_personatus ","Line Transect",1,1995,59,"km",1.32,"D",11.5,"AR","Frugivore",NA,NA,4,NA,NA,NA,NA,1.01,1,"Pair","Monogamy",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Callicebus personatus ",29,"a","Callicebus_personatus _a"
"Chiarello 1999",-40.12372,-19.805467,"Brazil","Neotropics","Pitheciidae","Callicebus","Callicebus personatus","Callicebus_personatus ","Line Transect",1,1995,62.9,"km",1.32,"D",11.5,"AR","Frugivore",NA,NA,4,NA,NA,NA,NA,1.01,1,"Pair","Monogamy",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Callicebus personatus ",29,"a","Callicebus_personatus _a"
"Chiarello 1999",-40.13806389,-19.01885278,"Brazil","Neotropics","Pitheciidae","Callicebus","Callicebus personatus","Callicebus_personatus ","Line Transect",1,1995,83.6,"km",1.32,"D",11.5,"AR","Frugivore",NA,NA,4,NA,NA,NA,NA,1.01,1,"Pair","Monogamy",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Callicebus personatus ",29,"a","Callicebus_personatus _a"
"Chiarello 1999",-40.14874167,-18.34444722,"Brazil","Neotropics","Pitheciidae","Callicebus","Callicebus personatus","Callicebus_personatus ","Line Transect",1,1995,85.3,"km",1.32,"D",11.5,"AR","Frugivore",NA,NA,4,NA,NA,NA,NA,1.01,1,"Pair","Monogamy",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Callicebus personatus ",29,"a","Callicebus_personatus _a"
"Chiarello 1999",-39.80627778,-18.26845278,"Brazil","Neotropics","Pitheciidae","Callicebus","Callicebus personatus","Callicebus_personatus ","Line Transect",0,1995,87.9,"km",1.32,"D",11.5,"AR","Frugivore",NA,NA,4,NA,NA,NA,NA,1.01,1,"Pair","Monogamy",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Callicebus personatus ",29,"a","Callicebus_personatus _a"
"Chiarello 1999",-39.94515556,-19.11418056,"Brazil","Neotropics","Pitheciidae","Callicebus","Callicebus personatus","Callicebus_personatus ","Line Transect",1,1995,80.1,"km",1.32,"D",11.5,"AR","Frugivore",NA,NA,4,NA,NA,NA,NA,1.01,1,"Pair","Monogamy",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Callicebus personatus ",29,"a","Callicebus_personatus _a"
"Onderdonk & Chapman 2000",30.32359,0.597612,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.321879,0.593395,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.323252,0.592785,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.324214,0.59584,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",0,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.28538889,0.50315,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.28604444,0.4994,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.30201111,0.520497222,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.272575,0.463363889,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.28786944,0.505383333,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.29818333,0.513855556,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",0,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.3034,0.517333333,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.30695278,0.519116667,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.309175,0.531916667,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.311275,0.528333333,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.31536944,0.530658333,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.32058333,0.557166667,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.32103333,0.570613889,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.322775,0.543197222,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.32351111,0.540236111,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Onderdonk & Chapman 2000",30.33110833,0.528366667,"Uganda","Africa","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Cercopithecus_ascanius ","Direct observation",1,1995,0,NA,3.24,"D",22.5,"AR","Frugivore",59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,"Polygyny","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Cercopithecus ascanius ",44,"a","Cercopithecus_ascanius _a"
"Boyle et al. 2013",-59.875867,-2.406501,"Brazil","Neotropics","Pitheciidae","Chiropotes","Chiropotes satanas chiropotes","Chiropotes_chiropotes ","Different methods",1,1995,0,NA,2.74,"D",142,"AR","Frugivore",NA,NA,NA,730,NA,240,NA,NA,NA,"Polygyndry",NA,NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Chiropotes chiropotes ",52,"a","Chiropotes_chiropotes _a"
"Boyle et al. 2013",-60.100858,-2.337207,"Brazil","Neotropics","Pitheciidae","Chiropotes","Chiropotes satanas chiropotes","Chiropotes_chiropotes ","Different methods",0,1995,0,NA,2.74,"D",142,"AR","Frugivore",NA,NA,NA,730,NA,240,NA,NA,NA,"Polygyndry",NA,NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Chiropotes chiropotes ",52,"a","Chiropotes_chiropotes _a"
"Boyle et al. 2013",-60.108505,-2.337438,"Brazil","Neotropics","Pitheciidae","Chiropotes","Chiropotes satanas chiropotes","Chiropotes_chiropotes ","Different methods",0,1995,0,NA,2.74,"D",142,"AR","Frugivore",NA,NA,NA,730,NA,240,NA,NA,NA,"Polygyndry",NA,NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Chiropotes chiropotes ",52,"a","Chiropotes_chiropotes _a"
"Boyle et al. 2013",-59.969876,-2.373319,"Brazil","Neotropics","Pitheciidae","Chiropotes","Chiropotes satanas chiropotes","Chiropotes_chiropotes ","Different methods",0,1995,0,NA,2.74,"D",142,"AR","Frugivore",NA,NA,NA,730,NA,240,NA,NA,NA,"Polygyndry",NA,NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Chiropotes chiropotes ",52,"a","Chiropotes_chiropotes _a"
"Onderdonk & Chapman 2000",30.32359,0.597612,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",1,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
