"OID","N","N_study","Source","BASE","X","Y","Precise","Country","Realm","Family","Genus","Taxon","Taxon_ITIS","Sample_met","Occurrence","Sample_yea","Sampling_e","Sampling_1","ID_Todo","TRAITS","BodyMass_k","DielActivi","HomeRange_","Locomotion","TrophicGui","Brain_size","Canine_Dim","MeanGroupS","Interbirth","Gestation","WeaningAge","MaxLongevi","LitterSz","AdultSexRa","Social_Sys","Mating_Sys","FOREST","BIOME","TaxonNameIUCN","redlistCategory","species_number","Source_grp","Dataset","row_id","nearpatch_ID","metric","treecover","near_p_dist","patch_area","dataset_row_id","row_id_2"
-1,29,23,"Henschel 2008","Ocurrencias",12.21079,-1.28474,"Precise","Gabon","Africa","Cercopithecidae","Cercopithecus","Cercopithecus solatus","Allochrocebus_solatus","camera traps",0,2004,1,"day",NA,NA,6.35,"D",NA,"BOTH","Omnivore",NA,NA,16.8,547.5,NA,NA,NA,1.01,NA,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Allochrocebus solatus","Near Threatened",1,"a","Allochrocebus_solatus_a",1736,171,"area",1,0,9939.05796901431,5,1
-1,52,23,"Henschel 2008","Ocurrencias",12.14653,-1.18695,"Precise","Gabon","Africa","Cercopithecidae","Cercopithecus","Cercopithecus solatus","Allochrocebus_solatus","camera traps",1,2005,1,"day",NA,NA,6.35,"D",NA,"BOTH","Omnivore",NA,NA,16.8,547.5,NA,NA,NA,1.01,NA,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Allochrocebus solatus","Near Threatened",1,"a","Allochrocebus_solatus_a",2182,123,"area",1,0,9944.33510696998,13,2
-1,102,23,"Henschel 2008","Ocurrencias",12.56184,0.08613,"Precise","Gabon","Africa","Cercopithecidae","Cercopithecus","Cercopithecus solatus","Allochrocebus_solatus","camera traps",0,2004,1,"day",NA,NA,6.35,"D",NA,"BOTH","Omnivore",NA,NA,16.8,547.5,NA,NA,NA,1.01,NA,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Allochrocebus solatus","Near Threatened",1,"a","Allochrocebus_solatus_a",1768,151,"area",1,0,9956.79069513344,37,3
-1,76,23,"Henschel 2008","Ocurrencias",12.38971,-0.20408,"Precise","Gabon","Africa","Cercopithecidae","Cercopithecus","Cercopithecus solatus","Allochrocebus_solatus","camera traps",0,2003,1,"day",NA,NA,6.35,"D",NA,"BOTH","Omnivore",NA,NA,16.8,547.5,NA,NA,NA,1.01,NA,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Allochrocebus solatus","Near Threatened",1,"a","Allochrocebus_solatus_a",1508,113,"area",1,0,9958.84167394225,19,4
-1,65,23,"Henschel 2008","Ocurrencias",12.49209,-0.20672,"Precise","Gabon","Africa","Cercopithecidae","Cercopithecus","Cercopithecus solatus","Allochrocebus_solatus","camera traps",0,2003,1,"day",NA,NA,6.35,"D",NA,"BOTH","Omnivore",NA,NA,16.8,547.5,NA,NA,NA,1.01,NA,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Allochrocebus solatus","Near Threatened",1,"a","Allochrocebus_solatus_a",1497,53,"area",1,0,10003.8419978103,8,5
-1,177,538,"Fialho et al. 2014","Ocurrencias",-35.50072222,-9.227416667,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3244,1,"area",0,193.807694172165,0.641292576200778,33,6
-1,148,538,"Fialho et al. 2014","Ocurrencias",-35.13305556,-6.610527778,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical and Subtropical Dry Broadleaf Forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3215,549,"area",1,0,107.920379252073,4,7
-1,179,538,"Fialho et al. 2014","Ocurrencias",-36.30797222,-10.113,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical and Subtropical Dry Broadleaf Forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3246,502,"area",1,0,142.092112241058,35,8
-1,181,538,"Fialho et al. 2014","Ocurrencias",-35.98216667,-9.516777778,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3248,1,"area",0,85.6099177299162,157.666360520217,37,9
-1,147,538,"Fialho et al. 2014","Ocurrencias",-35.13152778,-6.570138889,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical and Subtropical Dry Broadleaf Forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3214,416,"area",1,0,164.995418533943,3,10
-1,169,538,"Fialho et al. 2014","Ocurrencias",-34.97588889,-7.51325,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3236,583,"area",1,0,288.948112191034,25,11
