"Dataset","n","simulation_number","patch_comb_number","vars","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","habitat_amount","Cumulative_Occurrence","Source","Realm","Family","Genus","Taxon_ITIS","TaxonNameIUCN","redlistCategory","Occurrence","mean_patch_area_log"
"Alouatta_belzebul_a",3,1,1,1,488.848169515335,342.704797902276,466.860995474166,488.848169515335,458.411965782725,157.666360520217,842.017152551621,684.350792031404,0.063893678041796,-2.33333333333333,197.860707321455,"twenty_percent",1,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.68917399331467
"Alouatta_belzebul_a",3,1,2,1,492.024094654613,182.22976659324,511.018570006844,492.024094654613,226.829031957678,301.041057913675,664.012656043319,362.971598129644,-0.103101196193868,-2.33333333333333,105.21040479697,"twenty_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.69198637089606
"Alouatta_belzebul_a",3,1,3,1,483.351376005042,310.979051815808,319.08886327247,483.351376005042,44.686677553337,288.948112191034,842.017152551621,553.069040360587,0.380836484553644,-2.33333333333333,179.543839278191,"twenty_percent",0,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",0,2.68426295928051
"Alouatta_belzebul_a",3,1,4,1,493.917434641493,350.563250327295,466.860995474166,493.917434641493,458.411965782725,157.666360520217,857.224947930096,699.558587409879,0.0767201668183288,-2.33333333333333,202.397786944454,"twenty_percent",1,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.69365435646111
"Alouatta_belzebul_a",5,1,5,1,297.211625101506,265.449137340381,164.995418533943,297.211625101506,84.6194532393004,107.920379252073,754.434909287623,646.51453003555,0.89575520001032,-1.16027251100602,118.712463132354,"twenty_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.47306579236545
"Alouatta_belzebul_a",3,1,6,1,490.039141442565,331.365339387455,664.012656043319,490.039141442565,50.6630113294692,107.920379252073,698.184389032304,590.264009780231,-0.380300380800875,-2.33333333333333,191.313867895459,"twenty_percent",1,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.6902307703012
"Alouatta_belzebul_a",4,1,7,1,366.200964316936,267.118509727887,312.263677997192,366.200964316936,240.751173140703,142.092112241058,698.184389032304,556.092276791246,0.226717731569058,-2.18175713372478,133.559254863943,"twenty_percent",1,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.56371948359477
"Alouatta_belzebul_a",2,1,8,1,726.309649159964,39.7751243178073,726.309649159964,726.309649159964,41.698510665268,698.184389032304,754.434909287623,56.250520255319,-0.00000000000000213908110587447,-2.75,28.1252601276595,"twenty_percent",0,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",0,2.8611218138834
"Alouatta_belzebul_a",3,1,9,1,477.30490314372,181.711038926518,466.860995474166,477.30490314372,245.844639427184,301.041057913675,664.012656043319,362.971598129644,0.0572854965053751,-2.33333333333333,104.910917238952,"twenty_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.6787958957057
"Alouatta_belzebul_a",4,1,10,1,359.032229447263,351.08161786041,230.590487756764,359.032229447263,156.53919720432,107.920379252073,867.027563023451,759.107183771378,0.606516519877818,-1.80224227702658,175.540808930205,"twenty_percent",1,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.55513343588428
"Alouatta_belzebul_a",3,1,11,1,491.291188853243,339.171391547814,466.860995474166,491.291188853243,447.545904371575,164.995418533943,842.017152551621,677.021734017678,0.071655350782992,-2.33333333333333,195.82069421155,"twenty_percent",0,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",0,2.6913389752752
"Alouatta_belzebul_a",12,1,3,1,417.741037911357,284.519396510463,392.974929373318,414.522359933663,375.354508871275,0.641292576200778,867.027563023451,866.38627044725,0.102011095105951,-1.57625506831255,82.1336750824929,"seventy_percent",4,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.6209071414442
"Alouatta_belzebul_a",12,1,4,1,421.863633044076,304.052169843761,310.064960593072,419.469474092926,273.485183141777,0.641292576200778,867.027563023451,866.38627044725,0.273059251741444,-1.6272018833615,87.7723010534925,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.62517208843231
"Alouatta_belzebul_a",13,1,5,1,388.834716312681,292.645126103625,301.041057913675,381.544097414414,286.320718183691,0.641292576200778,857.224947930096,856.583655353895,0.389265949983929,-1.4937551859059,81.1651544370189,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.58976503308023
"Alouatta_belzebul_a",12,1,6,1,428.070429049448,276.650595294232,392.974929373318,426.917629299372,375.354508871275,0.641292576200778,867.027563023451,866.38627044725,0.0633717899733307,-1.47850208074885,79.8621478322976,"seventy_percent",4,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.63151522796461
"Alouatta_belzebul_a",12,1,7,1,418.07695307032,282.410349197963,383.95102669392,414.925458124418,347.034836318473,0.641292576200778,867.027563023451,866.38627044725,0.129229936767286,-1.57657856675815,81.52484556569,"seventy_percent",4,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.62125622727234
"Alouatta_belzebul_a",12,1,8,1,435.376583756879,313.767113125816,392.974929373318,435.68501494829,386.899699120616,0.641292576200778,867.027563023451,866.38627044725,0.179455381675473,-1.64412482072562,90.5767636130209,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.63886506728971
"Alouatta_belzebul_a",7,1,9,1,741.988598267894,129.370908365688,754.434909287623,741.988598267894,134.060032660005,511.018570006844,867.027563023451,356.008993016607,-0.55366187916107,-1.26223575534462,48.8976072031622,"seventy_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.87039723176503
"Alouatta_belzebul_a",12,1,10,1,432.574745953716,296.828528419943,392.974929373318,432.322809584494,360.413674430948,0.641292576200778,867.027563023451,866.38627044725,0.153388257247105,-1.59802083605093,85.6870153932073,"seventy_percent",4,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.63606116139736
