OID,N,N_study,Source,BASE,X,Y,Precise,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Sample_met,Occurrence,Sample_yea,Sampling_e,Sampling_1,ID_Todo,TRAITS,BodyMass_k,DielActivi,HomeRange_,Locomotion,TrophicGui,Brain_size,Canine_Dim,MeanGroupS,Interbirth,Gestation,WeaningAge,MaxLongevi,LitterSz,AdultSexRa,Social_Sys,Mating_Sys,FOREST,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,CC,CC_new
-1,597,173,Chiarello 1999,Ocurrencias,-40.16187,-19.876262,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta fusca,Alouatta_guariba,Line Transect,0,1995,59,km,NA,NA,5.54,D,15.065,AR,Folivore_frugivore,51.7,1.783,6.53,664.8,190,NA,NA,NA,1.61,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,c,Alouatta_guariba_c,1,75,75
-1,598,173,Chiarello 1999,Richness,-40.12372,-19.805467,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta fusca,Alouatta_guariba,Line Transect,1,1995,62.9,km,NA,NA,5.54,D,15.065,AR,Folivore_frugivore,51.7,1.783,6.53,664.8,190,NA,NA,NA,1.61,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,c,Alouatta_guariba_c,2,75,75
-1,599,173,Chiarello 1999,Richness,-40.13806389,-19.01885278,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta fusca,Alouatta_guariba,Line Transect,1,1995,83.6,km,NA,NA,5.54,D,15.065,AR,Folivore_frugivore,51.7,1.783,6.53,664.8,190,NA,NA,NA,1.61,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,c,Alouatta_guariba_c,3,75,75
-1,600,173,Chiarello 1999,Richness,-40.14874167,-18.34444722,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta fusca,Alouatta_guariba,Line Transect,0,1995,85.3,km,NA,NA,5.54,D,15.065,AR,Folivore_frugivore,51.7,1.783,6.53,664.8,190,NA,NA,NA,1.61,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,c,Alouatta_guariba_c,4,75,75
-1,601,173,Chiarello 1999,Richness,-39.80627778,-18.26845278,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta fusca,Alouatta_guariba,Line Transect,0,1995,87.9,km,NA,NA,5.54,D,15.065,AR,Folivore_frugivore,51.7,1.783,6.53,664.8,190,NA,NA,NA,1.61,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,c,Alouatta_guariba_c,5,75,75
-1,602,173,Chiarello 1999,Richness,-39.94515556,-19.11418056,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta fusca,Alouatta_guariba,Line Transect,1,1995,80.1,km,NA,NA,5.54,D,15.065,AR,Folivore_frugivore,51.7,1.783,6.53,664.8,190,NA,NA,NA,1.61,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,c,Alouatta_guariba_c,6,75,75
-1,5636,173,Chiarello 1999,Ocurrencias,-40.16187,-19.876262,Precise,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus personatus,Callicebus_personatus,Line Transect,1,1995,59,km,NA,NA,1.32,D,11.5,AR,Frugivore,NA,NA,4,NA,NA,NA,NA,1.01,1,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus personatus,Vulnerable,29,a,Callicebus_personatus_a,7,75,75
-1,5637,173,Chiarello 1999,Richness,-40.12372,-19.805467,Precise,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus personatus,Callicebus_personatus,Line Transect,1,1995,62.9,km,NA,NA,1.32,D,11.5,AR,Frugivore,NA,NA,4,NA,NA,NA,NA,1.01,1,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus personatus,Vulnerable,29,a,Callicebus_personatus_a,8,75,75
-1,5638,173,Chiarello 1999,Richness,-40.13806389,-19.01885278,Precise,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus personatus,Callicebus_personatus,Line Transect,1,1995,83.6,km,NA,NA,1.32,D,11.5,AR,Frugivore,NA,NA,4,NA,NA,NA,NA,1.01,1,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus personatus,Vulnerable,29,a,Callicebus_personatus_a,9,75,75
-1,5639,173,Chiarello 1999,Richness,-40.14874167,-18.34444722,Precise,Brazil,Neotropics,Pitheciidae,Callicebus,Callicebus personatus,Callicebus_personatus,Line Transect,1,1995,85.3,km,NA,NA,1.32,D,11.5,AR,Frugivore,NA,NA,4,NA,NA,NA,NA,1.01,1,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Callicebus personatus,Vulnerable,29,a,Callicebus_personatus_a,10,75,75
